[2026-02-20T03:36:35.371+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: yelp_restaurants_to_s3_to_snowflake.fetch_restaurants manual__2026-02-20T03:36:32.924264+00:00 [queued]>
[2026-02-20T03:36:35.373+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: yelp_restaurants_to_s3_to_snowflake.fetch_restaurants manual__2026-02-20T03:36:32.924264+00:00 [queued]>
[2026-02-20T03:36:35.373+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-02-20T03:36:35.377+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_restaurants> on 2026-02-20 03:36:32.924264+00:00
[2026-02-20T03:36:35.380+0000] {standard_task_runner.py:60} INFO - Started process 93 to run task
[2026-02-20T03:36:35.382+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'yelp_restaurants_to_s3_to_snowflake', 'fetch_restaurants', 'manual__2026-02-20T03:36:32.924264+00:00', '--job-id', '209', '--raw', '--subdir', 'DAGS_FOLDER/yelp_restaurants_to_s3_to_snowflake.py', '--cfg-path', '/tmp/tmpkmvjbvp4']
[2026-02-20T03:36:35.383+0000] {standard_task_runner.py:88} INFO - Job 209: Subtask fetch_restaurants
[2026-02-20T03:36:35.405+0000] {task_command.py:423} INFO - Running <TaskInstance: yelp_restaurants_to_s3_to_snowflake.fetch_restaurants manual__2026-02-20T03:36:32.924264+00:00 [running]> on host 8742f0c6434e
[2026-02-20T03:36:35.431+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='yelp_restaurants_to_s3_to_snowflake' AIRFLOW_CTX_TASK_ID='fetch_restaurants' AIRFLOW_CTX_EXECUTION_DATE='2026-02-20T03:36:32.924264+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-20T03:36:32.924264+00:00'
[2026-02-20T03:36:35.438+0000] {logging_mixin.py:188} INFO - Fetching restaurants from Yelp API across 10 locations and 4 categories
[2026-02-20T03:36:35.438+0000] {logging_mixin.py:188} INFO - 
Searching restaurants in Boston, MA...
[2026-02-20T03:36:36.056+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:36:41.264+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:36:46.419+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:36:51.609+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:36:56.800+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:01.960+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:07.135+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:12.270+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:17.444+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:22.601+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:27.763+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:32.916+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:38.075+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:43.221+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:48.441+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:53.699+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:37:58.825+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:38:03.996+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:38:09.132+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:38:14.338+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:38:19.561+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:38:24.742+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:38:29.910+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:38:35.071+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
